FileName,SheetName,StudentCount,UniqueLooseNames
CBSE RESULT 2026.xlsx,All Subjects Report,239,236
CBSE RESULT 2026.xlsx,BEST FIVE,239,236
CBSE RESULT 2026.xlsx,RANK,239,236
TARGET  SHEET 2024-25 NEW (1).xlsx,X B,48,48
TARGET  SHEET 2024-25 NEW (1).xlsx,X C,56,56
TARGET  SHEET 2024-25 NEW (1).xlsx,X D,34,34
TARGET  SHEET 2024-25 NEW (1).xlsx,X E,50,50
TARGET  SHEET 2024-25 NEW (1).xlsx,XA,47,47
half-yearly_X.xls,X-A,53,53
half-yearly_X.xls,X-B,54,54
half-yearly_X.xls,X-C,61,61
half-yearly_X.xls,X-D,32,32
half-yearly_X.xls,X-E,39,39
pb1_X.xls,X-A,53,53
pb1_X.xls,X-B,54,54
pb1_X.xls,X-C,61,61
pb1_X.xls,X-D,32,32
pb1_X.xls,X-E,39,39
pb2_X.xls,X-A,53,53
pb2_X.xls,X-B,54,54
pb2_X.xls,X-C,61,61
pb2_X.xls,X-D,32,32
pb2_X.xls,X-E,39,39
